,Title,Movie Info,Year,Distributor,Budget (in $),Domestic Opening (in $),Domestic Sales (in $),International Sales (in $),sales,Release Date,Running Time,License,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,SciFi,Sport,Thriller,War,Western
237,Rio 2,"It's a jungle out there for Blu, Jewel, and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel and meets his father-in-law.",2014,Twentieth Century Fox,103000000,39327869,131538435,367242682,498781117,20-Mar-14,1 hr 41 min,G,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
238,Troy,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",2004,Warner Bros.,175000000,46865412,133378256,364031596,497409852,12-May-04,2 hr 43 min,R,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
239,Toy Story 2,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",1999,Walt Disney Studios Motion Pictures,90000000,300163,245852179,251523202,497375381,19-Nov-99,1 hr 32 min,,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
240,How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",2010,DreamWorks,165000000,43732319,217581231,277298240,494879471,18-Mar-10,1 hr 38 min,PG,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
241,Twister,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes.",1996,Warner Bros.,92000000,41059405,241830615,252750000,494580615,10-May-96,1 hr 53 min,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
242,Oz the Great and Powerful,A small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches.,2013,Walt Disney Studios Motion Pictures,215000000,79110453,234911825,258400000,493311825,6-Mar-13,2 hr 10 min,PG,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
243,Clash of the Titans,"Perseus, a demigod and the son of Zeus, battles the minions of Hades and the Underworld in order to stop them from conquering Olympus and Earth.",2010,Warner Bros.,125000000,61235105,163214888,330000105,493214993,31-Mar-10,1 hr 46 min,PG-13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
244,Maleficent: Mistress of Evil,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.",2019,Walt Disney Studios Motion Pictures,185000000,36948713,113929605,377800484,491730089,16-Oct-19,1 hr 59 min,PG,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
245,War for the Planet of the Apes,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",2017,Twentieth Century Fox,150000000,56262929,146880162,343839601,490719763,11-Jul-17,2 hr 20 min,PG-13,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
246,Shrek,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",2001,DreamWorks Distribution,60000000,42347760,268163011,220278357,488441368,16-May-01,1 hr 30 min,PG,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
247,Mr. & Mrs. Smith,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.,2005,Twentieth Century Fox,110000000,50342878,186336279,300951367,487287646,8-Jun-05,2 hr,PG-13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
248,Elemental,"Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together.",2023,Walt Disney Studios Motion Pictures,June 14 2023 (APAC),29602429,154409516,332388472,486797988,8-Jun-05,2 hr,PG-13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
249,Angels & Demons,Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church.,2009,Sony Pictures Entertainment (SPE),150000000,46204168,133375846,352554970,485930816,13-May-09,2 hr 18 min,PG-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
