,Title,Movie Info,Year,Distributor,Budget (in $),Domestic Opening (in $),Domestic Sales (in $),International Sales (in $),sales,Release Date,Running Time,License,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,SciFi,Sport,Thriller,War,Western
38,Toy Story 4,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",2019,Walt Disney Studios Motion Pictures,200000000,120908065,434038008,639803386,1073841394,20-Jun-19,1 hr 40 min,G,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
39,Toy Story 3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",2010,Walt Disney Studios Motion Pictures,200000000,110307189,415004880,652311221,1067316101,16-Jun-10,1 hr 43 min,G,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
40,Pirates of the Caribbean: Dead Man's Chest,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",2006,Walt Disney Studios Motion Pictures,225000000,135634554,423315812,642863935,1066179747,6-Jul-06,2 hr 31 min,PG-13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,Rogue One: A Star Wars Story,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",2016,Walt Disney Studios Motion Pictures,200000000,155081681,533539991,525142151,1058682142,14-Dec-16,2 hr 13 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,Aladdin,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,2019,Walt Disney Studios Motion Pictures,183000000,91500929,355559216,698744784,1054304000,22-May-19,2 hr 8 min,PG,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
43,Pirates of the Caribbean: On Stranger Tides,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",2011,Walt Disney Studios Motion Pictures,250000000,90151958,241071802,805649464,1046721266,18-May-11,2 hr 17 min,PG-13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,Despicable Me 3,"Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist.",2017,Universal Pictures,80000000,72434025,264624300,770175831,1034800131,14-Jun-17,1 hr 29 min,PG,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
45,Finding Dory,Friendly but forgetful blue tang Dory begins a search for her long-lost parents and everyone learns a few things about the real meaning of family along the way.,2016,Walt Disney Studios Motion Pictures,June 15 2016 (Philippines),135060273,486295561,542971428,1029266989,14-Jun-17,1 hr 29 min,PG,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
46,Star Wars: Episode I - The Phantom Menace,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.",1999,Twentieth Century Fox,115000000,64820970,474544677,552538030,1027082707,19-May-99,2 hr 16 min,PG,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
47,Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",2016,Walt Disney Studios Motion Pictures,February 10 2016 (Belgium),75063401,341268248,684253441,1025521689,19-May-99,2 hr 16 min,PG,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
48,Alice in Wonderland,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",2010,Walt Disney Studios Motion Pictures,200000000,116101023,334191110,691277106,1025468216,3-Mar-10,1 hr 48 min,PG,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
49,Harry Potter and the Sorcerer's Stone,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",2001,Warner Bros.,125000000,90294621,318886962,705155727,1024042690,16-Nov-01,2 hr 32 min,PG,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
50,The Hobbit: An Unexpected Journey,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",2012,Warner Bros.,December 12 2012 (EMEA APAC),84617303,303030651,714000000,1017030651,16-Nov-01,2 hr 32 min,PG,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
51,The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008,Warner Bros.,185000000,158411483,534987076,471467753,1006454829,16-Jul-08,2 hr 32 min,PG-13,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
52,Jurassic World Dominion,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",2022,Universal Pictures,June 1 2022 (South Korea),145075625,376851080,625127000,1001978080,16-Jul-08,2 hr 32 min,PG-13,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
53,Jumanji: Welcome to the Jungle,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",2017,Sony Pictures Entertainment (SPE),90000000,36169328,404540171,590798946,995339117,20-Dec-17,1 hr 59 min,PG-13,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,Harry Potter and the Deathly Hallows: Part 1,"As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",2010,Warner Bros.,November 17 2010 (APAC EMEA),125017372,296374621,680695761,977070383,20-Dec-17,1 hr 59 min,PG-13,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,Despicable Me 2,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",2013,Universal Pictures,76000000,83517315,368065385,602700620,970766005,20-Jun-13,1 hr 38 min,PG,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
56,The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",1994,Walt Disney Studios Motion Pictures,45000000,1586753,422783777,545728028,968511805,15-Jun-94,1 hr 28 min,G,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
57,The Jungle Book,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",2016,Walt Disney Studios Motion Pictures,175000000,103261464,364001123,603723652,967724775,7-Apr-16,1 hr 46 min,PG,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
58,The Hobbit: The Battle of the Five Armies,Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,2014,Warner Bros.,December 10 2014 (EMEA),54724334,255138261,707063077,962201338,7-Apr-16,1 hr 46 min,PG,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
59,Pirates of the Caribbean: At World's End,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",2007,Walt Disney Studios Motion Pictures,300000000,114732820,309420425,652270784,961691209,22-May-07,2 hr 49 min,PG-13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,The Hobbit: The Desolation of Smaug,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",2013,Warner Bros.,December 11 2013 (EMEA APAC),73645197,258387334,700640658,959027992,22-May-07,2 hr 49 min,PG-13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,Doctor Strange in the Multiverse of Madness,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.",2022,Walt Disney Studios Motion Pictures,May 4 2022 (EMEA APAC),187420998,411331607,544444197,955775804,22-May-07,2 hr 49 min,PG-13,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,The Lord of the Rings: The Two Towers,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2002,New Line Cinema,94000000,62007528,342952511,604991759,947944270,18-Dec-02,2 hr 59 min,PG-13,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
63,Harry Potter and the Order of the Phoenix,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",2007,Warner Bros.,150000000,77108414,292382727,649895317,942278045,11-Jul-07,2 hr 18 min,PG-13,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
64,Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",2003,Walt Disney Studios Motion Pictures,94000000,70251710,380843261,560794699,941637960,30-May-03,1 hr 40 min,G,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,Minions: The Rise of Gru,The untold story of one twelve-year-old's dream to become the world's greatest supervillain.,2022,Universal Pictures,June 23 2022 (Australia),107010140,369695210,569933000,939628210,30-May-03,1 hr 40 min,G,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,Harry Potter and the Half-Blood Prince,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",2009,Warner Bros.,250000000,77835727,302334374,632185012,934519387,15-Jul-09,2 hr 33 min,PG,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
67,Shrek 2,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.",2004,DreamWorks Distribution,150000000,108037878,441226247,487534523,928760770,19-May-04,1 hr 33 min,PG,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
68,Oppenheimer,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.",2023,Universal Pictures,July 19 2023 (EMEA APAC),82455420,321212945,604752000,925964945,19-May-04,1 hr 33 min,PG,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
69,Harry Potter and the Chamber of Secrets,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,2002,Warner Bros.,100000000,88357488,262641637,663316557,925958195,14-Nov-02,2 hr 41 min,PG,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
70,Bohemian Rhapsody,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid.",2018,Twentieth Century Fox,52000000,51061119,216668042,694141269,910809311,26-Oct-18,2 hr 14 min,PG-13,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
71,The Battle at Lake Changjin,"In the fierce battlefield in the midst of the harsh weather conditions, Wu Qian Li and Wu Wan Li, two brothers soldier including the brave Chinese soldiers must fight together and find a way to cope with the invasion of US forces.",2021,CMC Pictures,October 1 2021 (China),105768,342411,902206065,902548476,26-Oct-18,2 hr 14 min,PG-13,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
72,The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2001,New Line Cinema,93000000,47211490,316115420,582089000,898204420,19-Dec-01,2 hr 58 min,PG-13,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
73,Harry Potter and the Goblet of Fire,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",2005,Warner Bros.,150000000,102685961,290469928,606345381,896815310,16-Nov-05,2 hr 37 min,PG-13,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
74,Spider-Man 3,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",2007,Sony Pictures Entertainment (SPE),258000000,151116516,336530303,558453070,894983373,1-May-07,2 hr 19 min,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75,The Secret Life of Pets,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",2016,Universal Pictures,75000000,104352905,368384330,525944139,894328469,24-Jun-16,1 hr 27 min,PG,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
